Track for Fay           2008
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/15/2008 03:34:10     18.197 N     64.738 W
08/15/2008 03:36:09     18.198 N     64.741 W
08/15/2008 03:38:09     18.199 N     64.744 W
08/15/2008 03:40:10     18.199 N     64.747 W
08/15/2008 03:42:10     18.200 N     64.751 W
08/15/2008 03:44:09     18.200 N     64.754 W
08/15/2008 03:46:09     18.201 N     64.757 W
08/15/2008 03:48:10     18.201 N     64.760 W
08/15/2008 03:50:09     18.202 N     64.763 W
08/15/2008 03:52:09     18.202 N     64.766 W
08/15/2008 03:54:10     18.202 N     64.769 W
08/15/2008 03:56:10     18.202 N     64.772 W
08/15/2008 03:58:09     18.203 N     64.775 W
08/15/2008 04:00:09     18.203 N     64.779 W
08/15/2008 04:02:10     18.203 N     64.782 W
08/15/2008 04:04:10     18.203 N     64.785 W
08/15/2008 04:06:09     18.203 N     64.788 W
08/15/2008 04:08:09     18.203 N     64.791 W
08/15/2008 04:10:10     18.203 N     64.794 W
08/15/2008 04:12:10     18.203 N     64.797 W
08/15/2008 04:14:09     18.202 N     64.800 W
08/15/2008 04:16:09     18.202 N     64.803 W
08/15/2008 04:18:10     18.202 N     64.806 W
08/15/2008 04:20:09     18.202 N     64.809 W
08/15/2008 04:22:09     18.201 N     64.812 W
08/15/2008 04:24:10     18.201 N     64.815 W
08/15/2008 04:26:10     18.200 N     64.818 W
08/15/2008 04:28:09     18.200 N     64.820 W
08/15/2008 04:30:09     18.199 N     64.823 W
08/15/2008 04:32:10     18.199 N     64.826 W
08/15/2008 04:34:10     18.198 N     64.829 W
08/15/2008 04:36:09     18.198 N     64.832 W
08/15/2008 04:38:09     18.197 N     64.835 W
08/15/2008 04:40:10     18.196 N     64.838 W
08/15/2008 04:41:35     18.196 N     64.840 W
08/15/2008 04:43:36     18.195 N     64.843 W
08/15/2008 04:45:36     18.194 N     64.846 W
08/15/2008 04:47:35     18.193 N     64.848 W
08/15/2008 04:49:35     18.192 N     64.851 W
08/15/2008 04:51:36     18.191 N     64.854 W
08/15/2008 04:53:36     18.190 N     64.857 W
08/15/2008 04:55:35     18.189 N     64.860 W
08/15/2008 04:57:35     18.188 N     64.862 W
08/15/2008 04:59:36     18.187 N     64.865 W
08/15/2008 05:01:35     18.186 N     64.868 W
08/15/2008 05:03:35     18.185 N     64.871 W
08/15/2008 05:05:36     18.183 N     64.874 W
08/15/2008 05:07:36     18.182 N     64.876 W
08/15/2008 05:09:35     18.181 N     64.879 W
08/15/2008 05:11:35     18.180 N     64.882 W
08/15/2008 05:13:36     18.179 N     64.885 W
08/15/2008 05:15:36     18.178 N     64.888 W
08/15/2008 05:17:35     18.177 N     64.890 W
08/15/2008 05:19:35     18.176 N     64.893 W
08/15/2008 05:21:36     18.175 N     64.896 W
08/15/2008 05:23:36     18.174 N     64.899 W
08/15/2008 05:25:35     18.173 N     64.902 W
08/15/2008 05:27:35     18.172 N     64.904 W
08/15/2008 05:29:36     18.171 N     64.907 W
08/15/2008 05:31:35     18.170 N     64.910 W
08/15/2008 05:33:35     18.169 N     64.913 W
08/15/2008 05:35:36     18.168 N     64.916 W
08/15/2008 05:37:36     18.167 N     64.918 W
08/15/2008 05:39:35     18.166 N     64.921 W
08/15/2008 05:41:35     18.165 N     64.924 W
08/15/2008 05:43:36     18.164 N     64.927 W
08/15/2008 05:45:36     18.163 N     64.930 W
08/15/2008 05:47:35     18.162 N     64.932 W
08/15/2008 05:49:35     18.160 N     64.935 W
08/15/2008 05:51:36     18.159 N     64.938 W
08/15/2008 05:53:36     18.158 N     64.941 W
08/15/2008 05:54:23     18.158 N     64.942 W
08/15/2008 05:56:22     18.154 N     64.951 W
08/15/2008 05:58:22     18.150 N     64.959 W
08/15/2008 06:00:23     18.146 N     64.967 W
08/15/2008 06:02:23     18.142 N     64.976 W
08/15/2008 06:04:22     18.137 N     64.984 W
08/15/2008 06:06:22     18.133 N     64.993 W
08/15/2008 06:08:23     18.129 N     65.001 W
08/15/2008 06:10:23     18.125 N     65.010 W
08/15/2008 06:12:22     18.121 N     65.018 W
08/15/2008 06:14:22     18.117 N     65.027 W
08/15/2008 06:16:23     18.113 N     65.035 W
08/15/2008 06:18:22     18.109 N     65.044 W
08/15/2008 06:20:22     18.104 N     65.052 W
08/15/2008 06:22:23     18.100 N     65.061 W
08/15/2008 06:24:23     18.096 N     65.069 W
08/15/2008 06:26:22     18.092 N     65.077 W
08/15/2008 06:28:22     18.088 N     65.086 W
08/15/2008 06:30:23     18.084 N     65.094 W
08/15/2008 06:32:23     18.080 N     65.103 W
08/15/2008 06:34:22     18.076 N     65.111 W
08/15/2008 06:36:22     18.072 N     65.120 W
08/15/2008 06:38:23     18.067 N     65.128 W
08/15/2008 06:40:23     18.063 N     65.137 W
08/15/2008 06:42:22     18.059 N     65.145 W
08/15/2008 06:44:22     18.055 N     65.154 W
08/15/2008 06:46:23     18.051 N     65.162 W
08/15/2008 06:48:22     18.047 N     65.171 W
08/15/2008 06:50:22     18.043 N     65.179 W
08/15/2008 06:52:23     18.039 N     65.188 W
08/15/2008 06:54:23     18.034 N     65.196 W
08/15/2008 06:56:22     18.030 N     65.204 W
08/15/2008 06:58:22     18.026 N     65.213 W
08/15/2008 07:00:23     18.022 N     65.221 W
08/15/2008 07:02:23     18.018 N     65.230 W
08/15/2008 07:04:22     18.014 N     65.238 W
08/15/2008 07:06:22     18.010 N     65.247 W
08/15/2008 07:08:23     18.006 N     65.255 W
08/15/2008 07:10:23     18.001 N     65.264 W
08/15/2008 07:12:22     17.997 N     65.272 W
08/15/2008 07:13:03     17.996 N     65.275 W
08/15/2008 07:15:03     17.997 N     65.285 W
08/15/2008 07:17:02     17.999 N     65.294 W
08/15/2008 07:19:02     18.000 N     65.304 W
08/15/2008 07:21:03     18.002 N     65.313 W
08/15/2008 07:23:03     18.003 N     65.323 W
08/15/2008 07:25:02     18.004 N     65.332 W
08/15/2008 07:27:03     18.006 N     65.342 W
08/15/2008 07:29:03     18.007 N     65.351 W
08/15/2008 07:31:02     18.009 N     65.361 W
08/15/2008 07:33:02     18.010 N     65.371 W
08/15/2008 07:35:03     18.011 N     65.380 W
08/15/2008 07:37:03     18.013 N     65.390 W
08/15/2008 07:39:02     18.014 N     65.399 W
08/15/2008 07:41:02     18.016 N     65.409 W
08/15/2008 07:43:03     18.017 N     65.418 W
08/15/2008 07:45:03     18.018 N     65.428 W
08/15/2008 07:47:02     18.020 N     65.437 W
08/15/2008 07:49:02     18.021 N     65.447 W
08/15/2008 07:51:03     18.023 N     65.456 W
08/15/2008 07:53:03     18.024 N     65.466 W
08/15/2008 07:55:02     18.025 N     65.476 W
08/15/2008 07:57:03     18.027 N     65.485 W
08/15/2008 07:59:03     18.028 N     65.495 W
08/15/2008 08:01:03     18.030 N     65.504 W
08/15/2008 08:03:03     18.031 N     65.514 W
08/15/2008 08:05:03     18.033 N     65.523 W
08/15/2008 08:07:03     18.034 N     65.533 W
08/15/2008 08:09:02     18.035 N     65.542 W
08/15/2008 08:11:02     18.037 N     65.552 W
08/15/2008 08:13:02     18.038 N     65.562 W
08/15/2008 08:15:02     18.040 N     65.571 W
08/15/2008 08:17:03     18.041 N     65.581 W
08/15/2008 08:19:03     18.042 N     65.590 W
08/15/2008 08:21:03     18.044 N     65.600 W
08/15/2008 08:23:03     18.045 N     65.609 W
08/15/2008 08:25:02     18.047 N     65.619 W
08/15/2008 08:27:02     18.048 N     65.628 W
08/15/2008 08:29:02     18.049 N     65.638 W
08/15/2008 08:31:03     18.051 N     65.647 W
08/15/2008 08:33:03     18.052 N     65.657 W
08/15/2008 08:35:03     18.054 N     65.667 W
08/15/2008 08:37:03     18.055 N     65.676 W
08/15/2008 08:39:02     18.056 N     65.686 W
08/15/2008 08:41:02     18.058 N     65.695 W
08/15/2008 08:43:02     18.059 N     65.705 W
08/15/2008 08:45:02     18.061 N     65.714 W
08/15/2008 08:47:03     18.062 N     65.724 W
08/15/2008 08:49:03     18.063 N     65.733 W
08/15/2008 08:51:03     18.065 N     65.743 W
